#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20221031   10:52:26      2     2     3     0     0     0     0
 20221031   10:52:26      3     2     3     0     0     0     0
 20221031   10:52:31      0  1841     5   100     0     0     0
 20221031   10:52:31      1     2     3     0     0     0     0
 20221031   10:52:31      2     2     3     0     0     0     0
 20221031   10:52:31      3     2     3     0     0     0     0
 20221031   10:52:36      0  1841     5   100     0     0     0
 20221031   10:52:36      1     2     3     0     0     0     0
 20221031   10:52:36      2     2     3     0     0     0     0
 20221031   10:52:36      3     2     3     0     0     0     0
#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20221031   10:52:41      0  1841     5   100     0     0     0
 20221031   10:52:41      1     2     3     0     0     0     0
 20221031   10:52:41      2     2     3     0     0     0     0
 20221031   10:52:41      3     2     3     0     0     0     0
 20221031   10:52:46      0  1841     5   100     0     0     0
 20221031   10:52:46      1     2     3     0     0     0     0
 20221031   10:52:46      2     2     3     0     0     0     0
 20221031   10:52:46      3     2     3     0     0     0     0
 20221031   10:52:51      0  1841     5   100     0     0     0
 20221031   10:52:51      1     2     3     0     0     0     0
 20221031   10:52:51      2     2     3     0     0     0     0
 20221031   10:52:51      3     2     3     0     0     0     0
 20221031   10:52:56      0  1841     5   100     0     0     0
 20221031   10:52:56      1     2     3     0     0     0     0
 20221031   10:52:56      2     2     3     0     0     0     0
 20221031   10:52:56      3     2     3     0     0     0     0
 20221031   10:53:01      0  1841     5   100     0     0     0
 20221031   10:53:01      1     2     3     0     0     0     0
 20221031   10:53:01      2     2     3     0     0     0     0
 20221031   10:53:01      3     2     3     0     0     0     0
 20221031   10:53:06      0  1841     5   100     0     0     0
 20221031   10:53:06      1     2     3     0     0     0     0
 20221031   10:53:06      2     2     3     0     0     0     0
 20221031   10:53:06      3     2     3     0     0     0     0
 20221031   10:53:11      0  1841     5   100     0     0     0
 20221031   10:53:11      1     2     3     0     0     0     0
 20221031   10:53:11      2     2     3     0     0     0     0
 20221031   10:53:11      3     2     3     0     0     0     0
 20221031   10:53:16      0  1841     5   100     0     0     0
 20221031   10:53:16      1     2     3     0     0     0     0
 20221031   10:53:16      2     2     3     0     0     0     0
 20221031   10:53:16      3     2     3     0     0     0     0
 20221031   10:53:21      0  1841     5   100     0     0     0
 20221031   10:53:21      1     2     3     0     0     0     0
 20221031   10:53:21      2     2     3     0     0     0     0
 20221031   10:53:21      3     2     3     0     0     0     0
 20221031   10:53:26      0  1841     5   100     0     0     0
 20221031   10:53:26      1     2     3     0     0     0     0
 20221031   10:53:26      2     2     3     0     0     0     0
 20221031   10:53:26      3     2     3     0     0     0     0
 20221031   10:53:31      0  1841     5   100     0     0     0
 20221031   10:53:31      1     2     3     0     0     0     0
 20221031   10:53:31      2     2     3     0     0     0     0
 20221031   10:53:31      3     2     3     0     0     0     0
#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20221031   10:53:36      0  1841     5   100     0     0     0
 20221031   10:53:36      1     2     3     0     0     0     0
 20221031   10:53:36      2     2     3     0     0     0     0
 20221031   10:53:36      3     2     3     0     0     0     0
 20221031   10:53:41      0  1841     5   100     0     0     0
 20221031   10:53:41      1     2     3     0     0     0     0
 20221031   10:53:41      2     2     3     0     0     0     0
 20221031   10:53:41      3     2     3     0     0     0     0
 20221031   10:53:46      0  1841     5   100     0     0     0
 20221031   10:53:46      1     2     3     0     0     0     0
 20221031   10:53:46      2     2     3     0     0     0     0
 20221031   10:53:46      3     2     3     0     0     0     0
 20221031   10:53:51      0  1841     5   100     0     0     0
 20221031   10:53:51      1     2     3     0     0     0     0
 20221031   10:53:51      2     2     3     0     0     0     0
 20221031   10:53:51      3     2     3     0     0     0     0
 20221031   10:53:56      0  1841     5   100     0     0     0
 20221031   10:53:56      1     2     3     0     0     0     0
 20221031   10:53:56      2     2     3     0     0     0     0
 20221031   10:53:56      3     2     3     0     0     0     0
 20221031   10:54:01      0  1841     5   100     0     0     0
 20221031   10:54:01      1     2     3     0     0     0     0
 20221031   10:54:01      2     2     3     0     0     0     0
 20221031   10:54:01      3     2     3     0     0     0     0
 20221031   10:54:06      0  1841     5   100     0     0     0
 20221031   10:54:06      1     2     3     0     0     0     0
 20221031   10:54:06      2     2     3     0     0     0     0
 20221031   10:54:06      3     2     3     0     0     0     0
